_id,name,month,day,year,prefix,volume,issue,remotePath
RH18520217-V02-12,Review and Herald for 1852 - Vol. 02 - No. 12,2,17,1852,RH,2,12,http://documents.adventistarchives.org/Periodicals/RH/RH18520217-V02-12.pdf
RH18520302-V02-13,Review and Herald for 1852 - Vol. 02 - No. 13,3,2,1852,RH,2,13,http://documents.adventistarchives.org/Periodicals/RH/RH18520302-V02-13.pdf
RH18520323-V02-14,Review and Herald for 1852 - Vol. 02 - No. 14,3,23,1852,RH,2,14,http://documents.adventistarchives.org/Periodicals/RH/RH18520323-V02-14.pdf
RH18520506-V03-01,Review and Herald for 1852 - Vol. 03 - No. 01,5,6,1852,RH,3,1,http://documents.adventistarchives.org/Periodicals/RH/RH18520506-V03-01.pdf
RH18520527-V03-02,Review and Herald for 1852 - Vol. 03 - No. 02,5,27,1852,RH,3,2,http://documents.adventistarchives.org/Periodicals/RH/RH18520527-V03-02.pdf
RH18520610-V03-03,Review and Herald for 1852 - Vol. 03 - No. 03,6,10,1852,RH,3,3,http://documents.adventistarchives.org/Periodicals/RH/RH18520610-V03-03.pdf
RH18520624-V03-04,Review and Herald for 1852 - Vol. 03 - No. 04,6,24,1852,RH,3,4,http://documents.adventistarchives.org/Periodicals/RH/RH18520624-V03-04.pdf
RH18520708-V03-05,Review and Herald for 1852 - Vol. 03 - No. 05,7,8,1852,RH,3,5,http://documents.adventistarchives.org/Periodicals/RH/RH18520708-V03-05.pdf
RH18520722-V03-06,Review and Herald for 1852 - Vol. 03 - No. 06,7,22,1852,RH,3,6,http://documents.adventistarchives.org/Periodicals/RH/RH18520722-V03-06.pdf
RH18520805-V03-07,Review and Herald for 1852 - Vol. 03 - No. 07,8,5,1852,RH,3,7,http://documents.adventistarchives.org/Periodicals/RH/RH18520805-V03-07.pdf
RH18520819-V03-08,Review and Herald for 1852 - Vol. 03 - No. 08,8,19,1852,RH,3,8,http://documents.adventistarchives.org/Periodicals/RH/RH18520819-V03-08.pdf
